N,Linear,Sum,Product,Polynom,Polynom Horner,Bubble sort,Quick sort,Tim sort,Matrix product
1,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,2
4,0,0,0,0,0,0,0,0,3
5,0,0,0,0,0,0,1,0,3
6,0,1,0,0,1,0,1,0,5
7,0,0,0,0,1,1,1,0,7
8,0,0,0,0,1,1,1,0,10
9,0,0,0,0,1,1,1,0,14
10,0,0,0,0,1,1,1,1,17
11,0,0,0,0,1,1,1,1,22
12,0,0,0,1,1,1,1,1,27
13,0,0,0,1,1,2,1,1,34
14,0,0,0,1,1,2,2,1,40
15,0,0,0,1,1,2,2,1,49
16,1,0,0,1,1,2,2,1,58
17,0,0,0,1,1,3,2,1,71
18,1,0,0,1,1,3,2,1,86
19,0,0,0,1,1,3,2,1,96
20,1,1,1,1,1,4,2,1,112
21,1,1,1,1,1,4,2,1,127
22,1,1,1,1,1,4,2,1,149
23,1,1,1,1,1,5,2,1,165
24,1,1,1,1,1,5,3,2,190
25,1,1,1,1,1,5,3,2,220
26,1,1,1,1,1,6,3,2,248
27,1,1,1,1,1,7,3,2,268
28,1,1,1,1,1,7,3,2,298
29,1,1,1,1,2,7,3,2,327
30,1,1,1,1,2,8,4,2,373
31,1,1,1,1,2,8,4,2,399
32,1,1,1,1,2,8,4,3,434
33,1,1,1,1,2,9,4,3,486
34,1,1,1,1,2,10,4,3,530
35,1,1,1,1,2,10,4,3,571
36,1,1,1,1,2,11,4,3,622
37,1,1,1,1,2,12,4,3,684
38,1,1,1,1,2,12,5,4,747
39,1,1,1,1,2,13,5,4,805
40,1,1,1,1,2,13,5,4,864
41,1,1,1,1,2,14,5,4,935
42,1,1,1,1,2,15,5,4,1001
43,1,1,1,1,2,15,6,4,1077
44,1,1,1,1,2,16,5,4,1127
45,1,3,1,2,2,16,5,5,1230
46,1,1,1,2,2,19,6,5,1383
47,1,1,1,2,3,20,6,5,1464
48,1,1,1,2,3,20,7,6,1564
49,1,1,1,2,2,21,7,6,1656
50,1,1,1,2,3,22,7,6,1757
51,1,1,1,2,2,23,7,6,1856
52,1,1,1,2,3,23,7,6,1974
53,1,1,1,2,3,24,7,6,2092
54,1,1,1,2,3,25,7,7,2225
55,1,1,1,2,3,26,8,7,2345
56,1,1,1,2,3,27,8,7,2485
57,2,1,1,2,3,27,8,7,2605
58,1,1,1,2,3,29,8,8,2791
59,1,1,1,2,3,30,8,8,2950
60,1,2,3,3,3,30,8,8,3091
61,1,1,1,2,3,33,9,8,3272
62,2,1,1,2,3,29,8,8,3189
63,1,1,1,2,3,32,8,8,3380
64,1,1,1,2,3,32,8,8,3568
65,1,2,1,2,3,36,9,11,4004
66,2,1,2,2,3,37,9,11,4198
67,1,2,2,6,4,35,8,10,4076
68,1,1,1,2,3,37,9,10,4288
69,1,1,2,3,3,38,9,11,4549
70,1,1,1,2,3,39,9,11,4952
71,2,1,1,2,3,42,10,11,5237
72,2,2,1,2,3,44,11,12,5516
73,2,2,2,2,4,45,11,11,5761
74,2,1,2,2,4,46,11,12,5970
75,2,2,2,3,4,48,11,12,6224
76,2,2,1,2,3,43,10,10,6124
77,2,2,2,2,4,48,11,12,6456
78,2,2,1,3,4,50,11,12,6815
79,2,2,2,3,4,53,12,12,7268
80,2,1,2,2,3,47,10,11,7259
81,2,2,2,3,4,54,11,12,8095
82,2,2,2,3,4,57,12,13,8350
83,2,2,2,3,4,58,12,12,8758
84,2,2,2,3,4,60,13,13,9007
85,2,2,2,3,4,61,12,13,9349
86,2,2,2,3,6,65,13,14,9834
87,2,2,2,3,4,56,11,11,9430
88,2,2,2,3,4,62,13,13,9802
89,2,2,2,3,4,63,12,13,10150
90,2,2,2,3,4,65,13,13,10487
91,2,2,2,3,4,67,13,14,10845
92,2,2,2,3,4,68,13,13,11210
93,2,2,2,3,4,70,13,14,11611
94,2,2,2,3,4,71,14,14,11992
95,2,2,2,3,5,74,14,14,12417
96,2,2,2,3,5,75,14,14,12709
97,2,2,2,3,4,75,15,14,13175
98,2,2,2,3,5,77,14,14,13619
99,2,2,2,3,5,78,14,15,14019
100,2,2,2,3,5,85,14,15,14800
101,2,2,2,3,5,83,15,15,14932
102,2,2,2,3,5,83,15,15,15303
103,2,2,2,3,5,85,15,15,15771
104,2,2,2,5,12,85,15,15,16782
105,2,2,2,3,5,94,16,16,16850
106,2,2,2,3,5,90,15,15,17099
107,2,2,2,3,5,91,15,16,17547
108,2,2,2,3,5,92,15,16,17998
109,2,2,2,3,5,94,16,25,18585
110,2,2,2,3,5,95,16,16,19128
111,2,2,2,4,5,98,16,16,19697
112,2,2,2,3,5,98,17,17,20221
113,2,3,2,3,5,102,16,17,20646
114,2,2,2,3,5,105,16,18,21226
115,3,2,2,3,5,104,17,18,21799
116,2,2,2,3,5,107,17,19,22396
117,2,2,2,3,5,117,17,18,22955
118,2,2,2,4,5,110,17,18,23525
119,2,2,2,4,5,111,17,20,24471
120,2,2,2,4,6,118,18,19,25469
121,2,2,2,4,6,119,18,20,25797
122,2,2,2,4,6,118,18,19,26054
123,2,2,2,4,5,120,18,19,26689
124,2,2,2,4,6,124,19,20,27840
125,2,3,2,4,6,126,19,21,28590
126,2,3,3,4,5,129,19,21,28702
127,2,2,2,4,6,128,19,20,29383
128,2,2,2,4,6,129,19,21,29989
129,2,2,2,4,6,132,19,23,31091
130,3,3,2,4,6,136,20,24,32346
131,3,3,2,4,6,140,20,24,32927
132,3,2,2,4,6,137,20,24,32938
133,2,2,3,4,6,141,20,24,33832
134,3,3,2,4,6,143,20,23,34959
135,3,3,3,4,6,156,22,25,37671
136,3,3,3,4,7,156,21,25,38568
137,3,3,3,4,7,159,22,25,39385
138,3,3,3,4,7,183,22,26,39410
139,3,3,3,5,7,166,22,26,41208
140,3,3,3,4,7,165,23,26,41941
141,3,3,2,4,7,166,23,27,42907
142,3,3,3,4,7,171,23,26,41366
143,3,3,3,4,6,162,22,24,41745
144,3,3,3,4,6,164,22,25,44773
145,3,3,3,4,7,176,23,26,46482
146,3,3,3,5,7,187,24,27,47277
147,3,3,3,4,7,180,24,26,47352
148,3,3,3,4,7,176,23,26,47223
149,3,3,3,7,6,177,22,26,52863
150,3,3,3,5,10,192,23,26,56117
151,3,3,3,7,7,207,24,26,
152,3,3,3,5,7,190,24,27,
153,3,3,3,5,7,192,24,27,
154,3,3,3,5,7,194,24,27,
155,3,3,3,4,7,198,25,27,
156,3,3,3,5,7,201,25,27,
157,3,3,3,5,7,202,25,27,
158,3,3,3,5,7,203,25,28,
159,3,3,3,5,7,205,25,27,
160,3,3,3,5,7,220,26,28,
161,3,3,3,5,7,212,25,28,
162,3,3,3,5,8,216,26,28,
163,3,3,3,5,7,218,26,28,
164,3,3,3,5,7,219,26,29,
165,3,3,3,5,8,223,26,29,
166,3,3,3,5,7,223,26,29,
167,3,3,3,5,8,227,26,28,
168,3,3,3,5,8,231,26,29,
169,3,3,3,5,7,234,26,30,
170,3,3,3,5,8,235,27,29,
171,3,3,3,5,8,238,27,30,
172,3,4,3,5,8,240,28,30,
173,3,3,3,5,8,246,28,31,
174,3,3,3,5,8,247,28,30,
175,3,3,3,5,8,251,28,31,
176,3,3,3,5,8,252,28,31,
177,3,3,3,5,8,256,29,31,
178,3,3,3,5,8,259,28,32,
179,3,3,3,5,8,261,29,32,
180,4,4,3,5,8,265,29,32,
181,3,3,3,6,9,273,29,32,
182,3,3,3,5,8,270,29,33,
183,4,3,4,5,8,276,30,33,
184,4,3,4,5,8,278,30,33,
185,3,4,3,5,9,282,30,34,
186,3,3,3,6,8,285,30,34,
187,4,4,4,6,9,285,30,33,
188,4,3,4,6,9,290,31,35,
189,4,4,3,6,9,291,30,35,
190,4,3,3,6,8,293,30,35,
191,4,4,3,6,9,300,31,35,
192,4,4,4,6,9,303,31,36,
193,4,4,3,6,9,305,31,37,
194,4,4,4,6,9,308,31,37,
195,4,4,4,6,9,313,32,38,
196,3,3,3,6,9,318,32,36,
197,4,4,4,6,9,318,33,38,
198,4,4,3,6,9,325,33,38,
199,4,4,3,6,9,325,33,38,
200,4,4,4,6,9,332,33,37,
201,4,4,4,6,9,329,33,37,
202,4,4,3,6,9,334,34,38,
203,4,4,4,6,9,338,33,37,
204,4,4,4,6,10,340,34,39,
205,4,4,4,6,9,347,34,39,
206,4,4,4,6,9,348,34,39,
207,4,4,4,6,9,352,35,38,
208,4,4,4,6,9,356,35,38,
209,4,4,4,6,9,360,35,39,
210,4,4,4,6,10,365,35,39,
211,4,4,4,6,10,366,35,39,
212,4,4,4,6,9,369,35,39,
213,4,4,4,7,10,373,35,39,
214,4,4,4,6,10,378,35,39,
215,4,4,4,7,10,383,37,39,
216,4,4,4,7,10,384,37,39,
217,4,4,4,7,10,388,36,39,
218,4,4,4,7,10,391,36,40,
219,4,4,4,7,10,397,37,40,
220,4,4,4,7,10,398,36,41,
221,4,4,4,6,10,403,37,41,
222,4,4,4,7,10,409,38,41,
223,4,4,4,7,10,410,37,41,
224,4,4,4,7,10,415,37,41,
225,4,4,4,6,10,419,37,41,
226,4,4,4,6,11,425,38,42,
227,4,5,4,7,10,424,38,42,
228,5,4,4,7,10,429,38,42,
229,4,4,4,7,10,435,39,42,
230,4,4,4,7,10,434,38,43,
231,4,4,4,7,10,440,39,43,
232,4,4,4,7,10,441,38,43,
233,4,5,4,7,10,446,39,43,
234,4,4,4,7,11,452,39,44,
235,5,4,4,7,10,455,38,44,
236,4,4,4,7,11,462,40,43,
237,5,4,4,7,11,463,40,44,
238,4,4,4,7,11,467,40,44,
239,4,4,4,7,11,471,40,44,
240,4,4,4,7,11,476,40,44,
241,5,5,4,7,11,479,40,45,
242,4,4,4,7,11,483,41,45,
243,4,4,4,7,11,485,40,46,
244,5,5,4,7,11,490,39,46,
245,4,4,4,7,11,496,41,46,
246,5,5,4,7,11,503,41,46,
247,4,5,4,7,11,500,43,47,
248,5,4,4,7,11,506,42,47,
249,4,4,4,7,11,511,42,47,
250,4,5,4,7,11,518,42,48,
251,5,4,4,7,11,520,42,46,
252,4,5,4,7,11,530,43,48,
253,5,5,5,8,11,533,43,48,
254,5,5,4,7,11,534,43,48,
255,5,4,4,8,11,534,43,47,
256,4,4,5,8,11,543,43,49,
257,5,4,4,7,12,546,43,54,
258,5,5,4,7,11,549,44,53,
259,5,5,5,8,11,552,44,54,
260,5,4,5,8,12,556,44,53,
261,5,5,4,8,12,563,44,54,
262,5,5,5,7,12,565,44,54,
263,5,5,5,8,12,577,44,54,
264,5,5,4,7,12,580,45,54,
265,5,5,5,8,12,579,45,54,
266,5,5,5,8,12,584,45,54,
267,5,5,5,8,12,586,45,54,
268,5,5,5,8,12,592,46,55,
269,5,5,5,8,12,598,45,55,
270,5,5,5,8,12,600,45,55,
271,5,5,5,8,12,605,46,56,
272,5,5,5,8,12,611,47,54,
273,5,5,5,8,12,617,46,54,
274,5,5,5,8,12,619,46,56,
275,5,5,5,8,12,627,52,51,
276,4,5,5,8,12,628,47,57,
277,5,5,5,8,13,646,47,56,
278,5,5,5,9,13,659,47,57,
279,5,5,5,8,13,663,48,56,
280,5,5,5,8,13,663,48,56,
281,5,5,5,8,13,665,48,56,
282,5,5,5,8,12,671,49,57,
283,5,5,5,8,13,675,48,57,
284,5,5,5,9,13,681,49,57,
285,5,5,5,9,13,688,49,57,
286,6,5,5,9,13,690,50,57,
287,5,5,5,9,13,694,48,59,
288,5,5,5,9,13,702,51,58,
289,5,5,5,9,13,709,49,58,
290,5,5,5,8,13,709,49,58,
291,5,5,5,9,13,716,49,59,
292,5,6,5,9,13,719,50,60,
293,5,5,5,9,14,725,51,58,
294,5,5,5,9,13,730,51,59,
295,5,5,6,9,14,735,51,59,
296,5,5,5,9,14,743,51,59,
297,5,5,5,9,14,748,51,59,
298,5,5,5,9,14,751,51,59,
299,5,5,5,9,13,757,51,60,
300,5,5,6,9,13,760,52,60,
301,5,5,6,9,14,762,52,60,
302,6,5,5,9,14,769,52,61,
303,5,6,5,9,13,773,54,61,
304,5,5,6,9,14,779,53,61,
305,6,5,5,9,14,789,54,61,
306,6,5,6,9,14,793,53,61,
307,6,6,5,9,14,797,53,62,
308,6,6,5,9,14,800,54,62,
309,6,5,6,9,14,808,55,62,
310,6,5,5,9,14,809,54,62,
311,5,5,6,9,14,812,54,62,
312,6,6,6,9,14,818,54,64,
313,5,6,6,9,14,821,63,65,
314,6,5,6,9,14,830,55,63,
315,6,6,6,9,14,839,55,64,
316,6,6,5,10,14,842,56,66,
317,6,6,6,9,14,844,55,64,
318,6,6,6,9,14,863,54,63,
319,6,5,6,9,14,840,54,64,
320,6,5,6,9,14,844,55,63,
321,6,6,5,9,14,853,56,64,
322,6,6,5,9,14,858,55,64,
323,6,6,6,10,14,861,56,65,
324,6,6,6,9,15,876,57,65,
325,6,6,6,9,14,876,56,65,
326,6,5,6,9,15,875,57,65,
327,6,6,6,9,14,882,55,65,
328,6,6,5,9,14,885,56,66,
329,6,6,6,9,15,893,57,65,
330,6,6,6,10,15,901,56,66,
331,6,6,6,9,15,904,57,67,
332,6,6,6,9,15,908,57,67,
333,6,6,6,10,14,919,58,66,
334,6,6,7,9,15,918,57,66,
335,6,6,6,10,14,926,58,66,
336,6,6,6,10,15,934,59,67,
337,6,6,6,10,15,939,60,64,
338,6,6,5,9,15,968,61,71,
