x,y,y with noise,Exhaustive search linear,Exhaustive search real,Coordinate descent linear,Coordinate descent real,Nelder Mead linear,Nelder Mead real,Gradient descent linear,Gradient descent real,Conjugate grad desc linear,Conjugate grad desc real,Newton's method linear,Newton's method real,Levenberg Marquardt linear,Levenberg Marquardt real
0,0.498768,0.356289,0.568,0.7,0.567,0.698,0.798715,0.602166,0.568254,0.699681,0.568229,0.699667,0.530249,0.0725693,0.764834,0.078454
0.01,0.508447,0.554072,0.57729,0.704006,0.57631,0.702008,0.803692,0.606203,0.577542,0.703684,0.577517,0.703671,0.540207,0.0732956,0.770694,0.0792378
0.02,0.518127,0.541967,0.58658,0.708058,0.58562,0.706063,0.80867,0.610295,0.58683,0.707734,0.586806,0.707721,0.550165,0.0740365,0.776554,0.0800374
0.03,0.527806,0.959679,0.59587,0.712157,0.59493,0.710165,0.813647,0.614443,0.596118,0.711831,0.596094,0.711817,0.560124,0.0747926,0.782413,0.0808534
0.04,0.537485,0.711835,0.60516,0.716303,0.60424,0.714315,0.818624,0.618647,0.605406,0.715975,0.605383,0.715962,0.570082,0.0755643,0.788273,0.0816861
0.05,0.547165,0.364553,0.61445,0.720498,0.61355,0.718514,0.823602,0.62291,0.614694,0.720168,0.614671,0.720155,0.580041,0.076352,0.794132,0.0825362
0.06,0.556844,0.634448,0.62374,0.724743,0.62286,0.722762,0.828579,0.627231,0.623982,0.72441,0.62396,0.724397,0.589999,0.0771564,0.799992,0.0834042
0.07,0.566523,0.335245,0.63303,0.729038,0.63217,0.727061,0.833556,0.631613,0.63327,0.728703,0.633248,0.72869,0.599957,0.0779779,0.805852,0.0842906
0.08,0.576203,0.556412,0.64232,0.733384,0.64148,0.731411,0.838534,0.636057,0.642558,0.733046,0.642537,0.733033,0.609916,0.0788171,0.811711,0.085196
0.09,0.585882,0.684848,0.65161,0.737782,0.65079,0.735813,0.843511,0.640563,0.651846,0.737442,0.651825,0.737429,0.619874,0.0796745,0.817571,0.0861212
0.1,0.595561,0.428044,0.6609,0.742233,0.6601,0.740269,0.848488,0.645134,0.661134,0.741891,0.661113,0.741878,0.629833,0.0805508,0.823431,0.0870666
0.11,0.60524,0.572526,0.67019,0.746738,0.66941,0.74478,0.853465,0.64977,0.670422,0.746394,0.670402,0.746381,0.639791,0.0814466,0.82929,0.088033
0.12,0.61492,0.820335,0.67948,0.751299,0.67872,0.749345,0.858443,0.654474,0.67971,0.750952,0.67969,0.750939,0.649749,0.0823625,0.83515,0.0890211
0.13,0.624599,0.952291,0.68877,0.755915,0.68803,0.753967,0.86342,0.659246,0.688998,0.755565,0.688979,0.755553,0.659708,0.0832993,0.841009,0.0900317
0.14,0.634278,0.70139,0.69806,0.760588,0.69734,0.758646,0.868397,0.664089,0.698286,0.760236,0.698267,0.760224,0.669666,0.0842576,0.846869,0.0910654
0.15,0.643958,0.476851,0.70735,0.76532,0.70665,0.763384,0.873375,0.669003,0.707574,0.764965,0.707556,0.764953,0.679624,0.0852382,0.852729,0.0921232
0.16,0.653637,0.552934,0.71664,0.770111,0.71596,0.768181,0.878352,0.67399,0.716862,0.769754,0.716844,0.769741,0.689583,0.0862419,0.858588,0.0932058
0.17,0.663316,0.436826,0.72593,0.774962,0.72527,0.773039,0.883329,0.679052,0.72615,0.774602,0.726133,0.774589,0.699541,0.0872696,0.864448,0.0943142
0.18,0.672996,0.687624,0.73522,0.779875,0.73458,0.777959,0.888307,0.684191,0.735438,0.779512,0.735421,0.779499,0.7095,0.088322,0.870307,0.0954493
0.19,0.682675,0.699169,0.74451,0.78485,0.74389,0.782941,0.893284,0.689408,0.744726,0.784485,0.744709,0.784472,0.719458,0.0894001,0.876167,0.096612
0.2,0.692354,0.775488,0.7538,0.789889,0.7532,0.787988,0.898261,0.694705,0.754014,0.789521,0.753998,0.789509,0.729416,0.0905049,0.882027,0.0978034
0.21,0.702034,0.7688,0.76309,0.794994,0.76251,0.793101,0.903239,0.700085,0.763302,0.794623,0.763286,0.79461,0.739375,0.0916373,0.887886,0.0990245
0.22,0.711713,0.777455,0.77238,0.800165,0.77182,0.79828,0.908216,0.705548,0.77259,0.799791,0.772575,0.799778,0.749333,0.0927984,0.893746,0.100277
0.23,0.721392,0.872708,0.78167,0.805403,0.78113,0.803527,0.913193,0.711097,0.781878,0.805026,0.781863,0.805014,0.759292,0.0939893,0.899606,0.101561
0.24,0.731072,0.65626,0.79096,0.810711,0.79044,0.808844,0.918171,0.716735,0.791166,0.810331,0.791152,0.810319,0.76925,0.0952112,0.905465,0.102878
0.25,0.740751,0.674234,0.80025,0.816089,0.79975,0.814232,0.923148,0.722462,0.800454,0.815706,0.80044,0.815694,0.779208,0.0964652,0.911325,0.10423
0.26,0.75043,0.85881,0.80954,0.821538,0.80906,0.819691,0.928125,0.728282,0.809742,0.821153,0.809729,0.82114,0.789167,0.0977527,0.917184,0.105618
0.27,0.760109,0.823645,0.81883,0.827061,0.81837,0.825225,0.933103,0.734196,0.81903,0.826672,0.819017,0.82666,0.799125,0.0990751,0.923044,0.107044
0.28,0.769789,1.06097,0.82812,0.832659,0.82768,0.830834,0.93808,0.740207,0.828318,0.832267,0.828306,0.832255,0.809084,0.100434,0.928904,0.108508
0.29,0.779468,1.15464,0.83741,0.838333,0.83699,0.836519,0.943057,0.746317,0.837606,0.837938,0.837594,0.837926,0.819042,0.10183,0.934763,0.110013
0.3,0.789147,0.864629,0.8467,0.844085,0.8463,0.842283,0.948034,0.752529,0.846894,0.843687,0.846882,0.843675,0.829,0.103266,0.940623,0.111561
0.31,0.798827,0.8842,0.85599,0.849917,0.85561,0.848127,0.953012,0.758845,0.856182,0.849515,0.856171,0.849503,0.838959,0.104743,0.946482,0.113152
0.32,0.808506,1.00654,0.86528,0.855829,0.86492,0.854052,0.957989,0.765269,0.86547,0.855424,0.865459,0.855413,0.848917,0.106263,0.952342,0.11479
0.33,0.818185,0.811653,0.87457,0.861825,0.87423,0.860061,0.962966,0.771801,0.874758,0.861416,0.874748,0.861405,0.858876,0.107827,0.958202,0.116476
0.34,0.827865,1.04399,0.88386,0.867905,0.88354,0.866155,0.967944,0.778447,0.884046,0.867493,0.884036,0.867481,0.868834,0.109438,0.964061,0.118212
0.35,0.837544,1.02218,0.89315,0.874071,0.89285,0.872336,0.972921,0.785207,0.893334,0.873656,0.893325,0.873644,0.878792,0.111098,0.969921,0.120001
0.36,0.847223,0.691304,0.90244,0.880326,0.90216,0.878606,0.977898,0.792087,0.902622,0.879907,0.902613,0.879896,0.888751,0.11281,0.975781,0.121844
0.37,0.856903,1.16533,0.91173,0.886671,0.91147,0.884967,0.982876,0.799087,0.91191,0.886248,0.911902,0.886237,0.898709,0.114574,0.98164,0.123745
0.38,0.866582,1.31003,0.92102,0.893108,0.92078,0.89142,0.987853,0.806213,0.921198,0.892681,0.92119,0.89267,0.908667,0.116395,0.9875,0.125707
0.39,0.876261,0.862253,0.93031,0.899639,0.93009,0.897969,0.99283,0.813467,0.930485,0.899209,0.930479,0.899198,0.918626,0.118275,0.993359,0.127731
0.4,0.88594,0.886423,0.9396,0.906266,0.9394,0.904614,0.997808,0.820853,0.939773,0.905832,0.939767,0.905821,0.928584,0.120216,0.999219,0.129822
0.41,0.89562,1.14442,0.94889,0.912992,0.94871,0.911358,1.00278,0.828374,0.949061,0.912554,0.949055,0.912543,0.938543,0.122223,1.00508,0.131982
0.42,0.905299,0.97919,0.95818,0.919818,0.95802,0.918204,1.00776,0.836034,0.958349,0.919376,0.958344,0.919366,0.948501,0.124297,1.01094,0.134216
0.43,0.914978,1.16921,0.96747,0.926747,0.96733,0.925153,1.01274,0.843837,0.967637,0.926301,0.967632,0.926291,0.958459,0.126443,1.0168,0.136526
0.44,0.924658,1.08332,0.97676,0.933782,0.97664,0.932208,1.01772,0.851787,0.976925,0.933331,0.976921,0.933321,0.968418,0.128664,1.02266,0.138918
0.45,0.934337,1.27712,0.98605,0.940923,0.98595,0.939372,1.02269,0.859888,0.986213,0.940469,0.986209,0.940459,0.978376,0.130965,1.02852,0.141394
0.46,0.944016,1.10338,0.99534,0.948175,0.99526,0.946646,1.02767,0.868145,0.995501,0.947717,0.995498,0.947707,0.988335,0.133349,1.03438,0.143961
0.47,0.953696,1.22181,1.00463,0.95554,1.00457,0.954034,1.03265,0.876562,1.00479,0.955077,1.00479,0.955068,0.998293,0.135822,1.04024,0.146622
